UnitID,Institution Name,Long-term investments (F1213_F2),Property  Plant  and Equipment  net of accumulated depreciation (F1213_F2),Intangible Assets  net of accumulated amortization (F1213_F2),Total assets (F1213_F2),Total liabilities (F1213_F2),Debt related to Property  Plant  and Equipment (F1213_F2),Total unrestricted net assets (F1213_F2),Total restricted net assets (F1213_F2),Permanently restricted net assets included in total restricted net assets (F1213_F2),Temporarily restricted net assets (F1213_F2),Total net assets (F1213_F2),Total revenues and investment return (F1213_F2),Total expenses (F1213_F2),Other specific changes in net assets (F1213_F2),Total change in net assets (F1213_F2),Net assets  beginning of the year (F1213_F2),Adjustments to beginning of year net assets (F1213_F2),Net assets  end of the year (F1213_F2),Investment return - Total (F1213_F2)
152099,Oakland City University,11864657,35722214,0,54913487,6165974,1399461,41003970,7743543,4525641,3217902,48747513,24870229,26721942,0,-1851713,50599226,0,48747513,1579053
101912,Oakwood University,12233461,42282605,0,79743761,13893236,7165000,48932792,16917733,2899666,14018067,65850525,53226944,47598109,0,5628835,60221690,0,65850525,1177444
204501,Oberlin College,772973235,294599570,0,1143011941,245984985,163688173,282867236,614159720,254860514,359299206,897026956,241730719,170572732,1630941,72788928,824238028,0,897026956,82820331
227289,Oblate School of Theology,17815550,20078789,0,42774081,403094,0,20681322,21689665,10077391,11612274,42370987,9319336,7120472,0,2198864,40172123,0,42370987,1980915
120254,Occidental College,408318102,162757298,0,639138087,140549197,92270000,157213541,341375349,152528093,188847256,498588890,143601589,107487926,0,36113663,462475227,0,498588890,41373971
140696,Oglethorpe University,19646033,55062465,190202,81973593,26947491,16023125,24119167,30906935,16712340,14194595,55026102,26361009,39640420,16187880,2908469,52117633,0,55026102,1030782
201964,Ohio Christian University,3710813,22436684,0,39645795,20087143,8697089,17312643,2246009,2087328,158681,19558652,30861013,26489827,0,4371186,15187466,0,19558652,160097
204617,Ohio Dominican University,24263333,57433998,500000,92509282,54195945,0,20966688,17346649,10638273,6708376,38313337,38804696,37618607,0,1186089,37127248,0,38313337,5801901
206002,Ohio Mid-Western College,0,487327,19355,752995,707226,632973,45769,0,0,0,45769,1469352,1355940,0,113412,6610,-74253,45769,0
204635,Ohio Northern University,157143003,142765837,0,359912623,126334805,65154121,52558735,181019083,97405539,83613544,233577818,112272329,101668697,11575742,22179374,211398444,0,233577818,16660894
