"unitid","institution name","year","F0809_F2_RV.Private gifts - Total","DRVF2009_RV.Tuition and fees as a percent of core revenues (FASB)","DRVF2009_RV.Endowment assets (year end) per FTE enrollment (FASB)"
"149514","Trinity International University-Illinois","2009",,"97","3645"
"149639","VanderCook College of Music","2009","260750","88",
"149763","Resurrection University","2009",,"100","980"
"149781","Wheaton College","2009","17893363","531","85212"
"150066","Anderson University","2009",,"109","7736"
"150145","Bethel College-Indiana","2009",,"83","3205"
"150163","Butler University","2009",,"202","26810"
"150172","Calumet College of Saint Joseph","2009",,"94","2889"
"150215","Christian Theological Seminary","2009",,,"422566"
"150288","Concordia Theological Seminary","2009",,"26","69048"
"150400","DePauw University","2009",,,"173476"
"150455","Earlham College","2009","5910696",,"218597"
"150534","University of Evansville","2009","7633482","97","23122"
"150604","Franklin College","2009",,,"65151"
"150668","Goshen College","2009",,,"75245"
"150677","Grace College and Theological Seminary","2009",,"65","5680"
"150756","Hanover College","2009",,,"116160"
"150774","Holy Cross College","2009",,"102","2222"
"150941","Huntington University","2009",,"80","15757"
"151263","University of Indianapolis","2009",,"112","12934"
"151290","Indiana Institute of Technology","2009",,"84","10164"
"151777","Manchester University","2009","3540949","133","26225"
"151786","Marian University","2009","11083988","64","6874"
"151801","Indiana Wesleyan University","2009",,"95","3282"
"151810","Martin University","2009","708460","85","140"
"151865","Anabaptist Mennonite Biblical Seminary","2009",,"151","113868"
"151962","Mid-America College of Funeral Service","2009",,"94",
"152080","University of Notre Dame","2009",,,"441362"
"152099","Oakland City University","2009",,"83","1556"
"152318","Rose-Hulman Institute of Technology","2009",,"205","83024"
"152336","University of Saint Francis-Fort Wayne","2009","3166416","87","5044"
"152363","Saint Josephs College","2009",,"55","12530"
"152381","Saint Mary-of-the-Woods College","2009","2097886","100","10528"
"152390","Saint Mary's College","2009","11714212","3084","63307"
"152451","Saint Meinrad School of Theology","2009",,,"168737"
"152530","Taylor University","2009","5996491","74","21970"
"152567","Trine University","2009","8109937","67","12487"
"152600","Valparaiso University","2009","9658412","246","34762"
"152673","Wabash College","2009","12006697",,"301874"
"152798","Allen College","2009",,"89","4274"
"152822","AIB College of Business","2009",,"94","5448"
"152992","Briar Cliff University","2009","1497222","88","7243"
"153001","Buena Vista University","2009",,,"33008"
"153108","Central College","2009","5019994","163","38996"
"153126","Clarke University","2009",,"123","23017"
"153144","Coe College","2009","3805637","76","52705"
"153162","Cornell College","2009","8604432","140","43294"
"153241","Divine Word College","2009",,"17","291663"
"153250","Dordt College","2009",,"94","15863"
"153269","Drake University","2009",,"129","19511"
"153278","University of Dubuque","2009",,"102","34300"
"153302","Emmaus Bible College","2009","1412659","60","4643"
"153320","Faith Baptist Bible College and Theological Seminary","2009",,"35","8971"
"153366","Graceland University-Lamoni","2009","7154627","145","17279"
"153375","Grand View University","2009",,"96","6963"
"153384","Grinnell College","2009",,,"656650"
"153621","Iowa Wesleyan College","2009","6043947","67","14777"
"153825","Loras College","2009",,"90","13723"
"153834","Luther College","2009","6616805","147","34801"
"153861","Maharishi University of Management","2009",,"62","6788"
"153977","Mercy College of Health Sciences","2009","210541","109","3374"
"154004","Morningside College","2009","2277699","147","16489"
"154013","Mount Mercy University","2009","1265668","125","12259"
"154101","Northwestern College","2009","2848573","127","26377"
"154156","Des Moines University-Osteopathic Medical Center","2009",,"155","41092"
"154174","Palmer College of Chiropractic-Davenport","2009",,"98","2111"
"154235","Saint Ambrose University","2009",,"119","14830"
"154262","St Luke's College","2009",,"78","8075"
