UnitID,Institution Name,Long-term investments (F1112_F2_RV),Property  Plant  and Equipment  net of accumulated depreciation (F1112_F2_RV),Intangible Assets  net of accumulated amortization (F1112_F2_RV),Total assets (F1112_F2_RV),Total liabilities (F1112_F2_RV),Debt related to Property  Plant  and Equipment (F1112_F2_RV),Total unrestricted net assets (F1112_F2_RV),Total restricted net assets (F1112_F2_RV),Permanently restricted net assets included in total restricted net assets (F1112_F2_RV),Temporarily restricted net assets (F1112_F2_RV),Total net assets (F1112_F2_RV),Total revenues and investment return (F1112_F2_RV),Total expenses (F1112_F2_RV),Other specific changes in net assets (F1112_F2_RV),Total change in net assets (F1112_F2_RV),Net assets  beginning of the year (F1112_F2_RV),Adjustments to beginning of year net assets (F1112_F2_RV),Net assets  end of the year (F1112_F2_RV),Investment return - Total (F1112_F2_RV)
134510,Hobe Sound Bible College,441029,2605209,0,4505036,1427221,0,363554,2714261,2007528,706733,3077815,4161501,3874740,0,286761,2791054,0,3077815,15593
367884,Hodges University,4546606,42314649,0,72938623,26105353,19570000,33300965,13532305,4925505,8606800,46833270,35285742,32882628,0,2403114,44430156,0,46833270,-6907
191649,Hofstra University,355709765,256882395,0,842296165,379585905,154642410,286503621,176206639,109252567,66954072,462710260,381680468,348741184,-8011775,24927509,437782751,0,462710260,27583790
232308,Hollins University,154967342,44036926,0,223525243,5978685,0,52091823,165454735,106858260,58596475,217546558,32167625,32651922,0,-484297,218030855,0,217546558,1074578
129534,Holy Apostles College and Seminary,1894470,7434556,0,10764281,1031775,963333,9490308,242198,0,242198,9732506,3624178,3157732,0,466446,9266060,0,9732506,66362
150774,Holy Cross College,0,17780459,0,21114899,10460142,7952137,7386763,3267994,0,3267994,10654757,9835139,9748086,0,87053,10892049,-324345,10654757,9797
212984,Holy Family University,14964053,74059607,0,102569998,56318193,46903472,41604998,4646807,3735159,911648,46251805,45493142,46833608,0,-1340466,47592271,0,46251805,-493171
115728,Holy Names University,9630511,17233528,260816,30178880,8254971,3836047,13344587,8579322,6887091,1692231,21923909,26270217,25919668,0,350549,21573360,0,21923909,-140702
162760,Hood College,59087631,62095584,0,135034305,32267742,16048692,40349768,62416795,41358863,21057932,102766563,40428939,40020267,0,408672,102357891,0,102766563,-3300490
443076,Hood Theological Seminary,3851513,1793099,0,11814270,49136,0,4820086,6945048,3856163,3088885,11765134,3916826,2620761,0,1296065,10469069,0,11765134,-39492
